Name,Country,Occupation,Hobby,Phone no,Age,Gender (0 = male and 1 = female),Genre
Shinchan,KOREA,Singer,Gaming,6756193187,5,0,DANCE
Shizuka,KOREA,Dancer,Cricket,362055329,57,1,ACOUSTIC
Wang Lei,CHINA, Software Engineers,YouTube blogging,92645909,51,0,FOLK
Barde,CHINA, Software Engineers,Cashew processing,2687756840,35,0,VOCAL
Chang,JAPAN, Software Engineers, Artist,7777728803,45,0,VOCAL
Zang Lei,JAPAN, Software Engineers, Artist,5054082666,20,0,KPOP
Ravi,INDIA,Construction work,Cashew processing,6638783791,50,0,FOLK
Rohan,INDIA,Construction of tents ,Coaching service,7560326779,60,0,FOLK
Roshan,INDIA,Courier service,Singer,1537622290,54,0,FOLK
Emma,CANADA, Software Engineers,YouTube blogging,1267901836,17,1,EDM
Jordan,INDIA, Software Engineers,Cashew processing,5034198434,20,0,KPOP
Bosch,UK,Coir processing/manufacture,Singer,2480695386,25,0,DISCO
Logan,NORWAY, Software Engineers,Cricket,486060718,72,0,ACOUSTIC
Anand,INDIA,Confectionery,Dancer,171297606,35,0,VOCAL
William,CANADA, Software Engineers,Cashew processing,8266131284,68,0,FOLK
